correct,RT,response,sLength,mainTrial,position,respond,SOA,tGen,tImg
NaN,NaN,NaN,0.25989,1,2,1,0.25,2,71
NaN,NaN,NaN,NaN,1,2,0,0.25,2,13
NaN,NaN,NaN,NaN,1,2,0,0.25,1,59
NaN,NaN,NaN,NaN,2,2,0,0.25,1,34
NaN,NaN,NaN,0.25991,2,1,1,0.25,1,16
NaN,NaN,NaN,0.25977,3,2,1,0.25,2,1
NaN,NaN,NaN,0.25977,3,1,1,0.25,1,44
NaN,NaN,NaN,0.25892,4,1,1,0.25,2,76
NaN,NaN,NaN,0.25993,4,2,1,0.25,1,16
NaN,NaN,NaN,0.25974,5,1,1,0.25,1,30
NaN,NaN,NaN,0.25987,5,2,1,0.25,1,28
NaN,NaN,NaN,0.25986,6,1,1,0.25,1,20
NaN,NaN,NaN,0.25991,6,1,1,0.25,2,43
NaN,NaN,NaN,0.25983,7,2,1,0.25,2,21
NaN,NaN,NaN,0.25979,7,1,1,0.25,2,39
NaN,NaN,NaN,0.26061,8,2,1,0.25,2,9
NaN,NaN,NaN,0.26919,8,1,1,0.25,1,47
NaN,NaN,NaN,0.25984,9,2,1,0.25,2,63
NaN,NaN,NaN,0.25985,9,1,1,0.25,1,46
NaN,NaN,NaN,0.25993,10,1,1,0.25,2,34
NaN,NaN,NaN,NaN,10,1,0,0.25,2,10
NaN,NaN,NaN,0.25983,11,2,1,0.25,1,24
NaN,NaN,NaN,0.25987,11,1,1,0.25,2,53
NaN,NaN,NaN,0.25978,12,1,1,0.25,1,39
NaN,NaN,NaN,0.26042,12,1,1,0.25,1,14
NaN,NaN,NaN,0.2598,13,2,1,0.25,2,1
NaN,NaN,NaN,0.25987,13,1,1,0.25,2,48
NaN,NaN,NaN,NaN,14,2,0,0.25,1,50
NaN,NaN,NaN,0.25978,14,1,1,0.25,2,65
NaN,NaN,NaN,NaN,15,1,0,0.25,1,47
NaN,NaN,NaN,0.25992,15,1,1,0.25,1,71
NaN,NaN,NaN,0.25969,16,2,1,0.25,2,45
NaN,NaN,NaN,0.25972,16,2,1,0.25,2,30
NaN,NaN,NaN,0.25985,17,1,1,0.25,2,69
NaN,NaN,NaN,0.25983,17,2,1,0.25,1,30
NaN,NaN,NaN,0.25981,18,2,1,0.25,2,65
NaN,NaN,NaN,0.25986,18,1,1,0.25,2,23
NaN,NaN,NaN,NaN,19,1,0,0.25,1,74
NaN,NaN,NaN,NaN,19,1,0,0.25,1,76
NaN,NaN,NaN,0.25983,20,1,1,0.25,2,58
NaN,NaN,NaN,NaN,20,1,0,0.25,2,28
NaN,NaN,NaN,0.25986,21,2,1,0.25,2,17
NaN,NaN,NaN,0.25998,21,2,1,0.25,2,32
NaN,NaN,NaN,0.25985,22,1,1,0.25,1,6
NaN,NaN,NaN,0.25982,22,2,1,0.25,2,65
NaN,NaN,NaN,0.25963,23,2,1,0.25,1,52
NaN,NaN,NaN,0.26003,23,1,1,0.25,2,49
NaN,NaN,NaN,NaN,24,2,0,0.25,1,68
NaN,NaN,NaN,0.25985,24,1,1,0.25,1,63
NaN,NaN,NaN,0.25995,25,2,1,0.25,2,39
NaN,NaN,NaN,0.25979,25,2,1,0.25,2,67
NaN,NaN,NaN,0.25986,26,2,1,0.25,2,2
NaN,NaN,NaN,NaN,26,2,0,0.25,1,29
NaN,NaN,NaN,0.25977,27,1,1,0.25,2,35
NaN,NaN,NaN,NaN,27,2,0,0.25,1,62
NaN,NaN,NaN,0.25979,28,2,1,0.25,1,78
NaN,NaN,NaN,0.25984,28,2,1,0.25,1,20
NaN,NaN,NaN,0.25977,29,1,1,0.25,2,26
NaN,NaN,NaN,0.25978,29,2,1,0.25,2,11
NaN,NaN,NaN,0.25963,30,2,1,0.25,1,58
