RT,trial,run,task,deltaPed,coherence,contrast,trialNum,correct,lAvgCon,rAvgCon,lAvgCoh,rAvgCoh,side,direction,conPedestal,cohPedestal,isCatch
0.51309,1,2,2,0.2,0.05,0.60653,1,1,0.71066,0.60653,0.05,0.05,1,1,4,1,0
0.30588,2,2,2,0.2,0.45,0.60653,2,1,0.60653,0.71066,0.45,0.45,2,-1,4,4,0
0.43811,3,2,2,0.2,0.45,0.17377,3,1,0.17377,0.2779,0.45,0.45,2,1,1,4,0
-0.005162,4,2,2,0.2,0.05,0.60653,4,0,0.71066,0.60653,0.05,0.05,1,-1,4,1,0
0.14369,5,2,2,0.2,0.45,0.39985,5,1,0.39985,0.50398,0.45,0.45,2,1,3,4,0
0.10489,6,2,2,0.2,0.25,0.17377,6,1,0.17377,0.2779,0.25,0.25,2,1,1,3,0
0.28352,7,2,1,0.21225,0.45,0.2636,7,0,0.2636,0.2636,0.5605,0.45,1,-1,2,4,1
0.13096,8,2,2,0.2,0.125,0.17377,8,1,0.2779,0.17377,0.125,0.125,1,-1,1,2,0
0.12616,9,2,2,0.2,0.25,0.39985,9,1,0.39985,0.50398,0.25,0.25,2,1,3,3,0
0.55686,10,2,2,0.13333,0.45,0.17377,10,1,0.17377,0.24319,0.45,0.45,2,-1,1,4,0
0.21482,11,2,2,0.2,0.45,0.2636,11,1,0.36772,0.2636,0.45,0.45,1,-1,2,4,0
0.401,12,2,2,0.2,0.05,0.39985,12,1,0.50398,0.39985,0.05,0.05,1,1,3,1,0
0.35308,13,2,2,0.13333,0.45,0.17377,13,1,0.17377,0.24319,0.45,0.45,2,1,1,4,0
-0.028861,14,2,2,0.13333,0.05,0.39985,14,1,0.39985,0.46927,0.05,0.05,2,1,3,1,0
-0.0096946,15,2,2,0.2,0.125,0.2636,15,1,0.2636,0.36772,0.125,0.125,2,1,2,2,0
0.26226,16,2,1,0.42741,0.05,0.39985,16,1,0.39985,0.39985,0.05,0.27252,2,-1,3,1,1
0.33595,17,2,2,0.2,0.05,0.2636,17,1,0.2636,0.36772,0.05,0.05,2,1,2,1,0
0.25101,18,2,2,0.13333,0.25,0.39985,18,1,0.46927,0.39985,0.25,0.25,1,1,3,3,0
0.50678,19,2,2,0.26667,0.25,0.60653,19,0,0.74537,0.60653,0.25,0.25,1,1,4,3,0
0.03395,20,2,2,0.33333,0.05,0.60653,20,1,0.60653,0.78007,0.05,0.05,2,1,4,1,0
0.15315,21,2,2,0.33333,0.05,0.60653,21,1,0.78007,0.60653,0.05,0.05,1,1,4,1,0
0.17801,22,2,2,0.13333,0.25,0.17377,22,1,0.24319,0.17377,0.25,0.25,1,-1,1,3,0
0.37135,23,2,1,0.14957,0.25,0.39985,23,0,0.39985,0.39985,0.25,0.32787,2,1,3,3,1
0.1469,24,2,2,0.33333,0.45,0.60653,24,1,0.60653,0.78007,0.45,0.45,2,1,4,4,0
0.12265,25,2,1,0.30119,0.25,0.39985,25,0,0.39985,0.39985,0.40681,0.25,1,1,3,3,1
0.029219,26,2,2,0.13333,0.45,0.39985,26,1,0.46927,0.39985,0.45,0.45,1,-1,3,4,0
0.50284,27,2,1,0.30119,0.05,0.60653,27,1,0.60653,0.60653,0.20681,0.05,1,-1,4,1,1
0.27357,28,2,2,0.13333,0.05,0.2636,28,1,0.33301,0.2636,0.05,0.05,1,1,2,1,0
0.25009,29,2,2,0.066667,0.25,0.17377,29,1,0.20848,0.17377,0.25,0.25,1,1,1,3,0
0.26823,30,2,2,0.066667,0.45,0.17377,30,1,0.17377,0.20848,0.45,0.45,2,-1,1,4,0
-0.017836,31,2,2,0.066667,0.125,0.39985,31,1,0.43456,0.39985,0.125,0.125,1,1,3,2,0
0.1436,32,2,2,0.066667,0.125,0.39985,32,1,0.39985,0.43456,0.125,0.125,2,-1,3,2,0
0.18852,33,2,2,0.066667,0.45,0.39985,33,1,0.43456,0.39985,0.45,0.45,1,-1,3,4,0
-0.026028,34,2,2,0.001,0.125,0.39985,34,0,0.40037,0.39985,0.125,0.125,1,-1,3,2,0
0.23283,35,2,2,0.3,0.25,0.60653,35,1,0.60653,0.76272,0.25,0.25,2,-1,4,3,0
0.40914,36,2,2,0.067667,0.05,0.39985,36,1,0.43508,0.39985,0.05,0.05,1,1,3,1,0
0.17101,37,2,2,0.067667,0.125,0.39985,37,1,0.43508,0.39985,0.125,0.125,1,1,3,2,0
0.13448,38,2,2,0.066667,0.125,0.17377,38,1,0.17377,0.20848,0.125,0.125,2,1,1,2,0
0.42618,39,2,1,0.14957,0.125,0.17377,39,1,0.17377,0.17377,0.125,0.20287,2,1,1,2,1
0.49145,40,2,2,0.001,0.05,0.17377,40,1,0.17429,0.17377,0.05,0.05,1,1,1,1,0
0.415,41,2,2,0.001,0.45,0.17377,41,0,0.17377,0.17429,0.45,0.45,2,-1,1,4,0
0.21905,42,2,2,0.067667,0.25,0.39985,42,1,0.39985,0.43508,0.25,0.25,2,-1,3,3,0
-0.0026307,43,2,2,0.067667,0.125,0.17377,43,1,0.209,0.17377,0.125,0.125,1,-1,1,2,0
0.088801,44,2,2,0.3,0.125,0.60653,44,1,0.60653,0.76272,0.125,0.125,2,-1,4,2,0
0.49625,45,2,1,0.21225,0.25,0.17377,45,0,0.17377,0.17377,0.25,0.3605,2,-1,1,3,1
-0.013316,46,2,2,0.034333,0.45,0.39985,46,1,0.41772,0.39985,0.45,0.45,1,1,3,4,0
0.47666,47,2,1,0.14957,0.25,0.2636,47,0,0.2636,0.2636,0.25,0.32787,2,1,2,3,1
0.37095,48,2,2,0.067667,0.125,0.17377,48,1,0.17377,0.209,0.125,0.125,2,-1,1,2,0
0.33653,49,2,2,0.067667,0.125,0.17377,49,1,0.17377,0.209,0.125,0.125,2,1,1,2,0
0.22464,50,2,2,0.034333,0.05,0.17377,50,0,0.17377,0.19165,0.05,0.05,2,-1,1,1,0
0.015399,51,2,2,0.034333,0.25,0.39985,51,1,0.39985,0.41772,0.25,0.25,2,-1,3,3,0
NaN,52,2,2,0.13333,0.05,0.2636,52,NaN,0.2636,0.33301,0.05,0.05,2,1,2,1,0
