value,std,pedVal,task,side,roi,type
2.0981,0,0.1,1,1,1,1
1.2877,0,0.1,1,1,1,1
2.7491,0,0.1,1,1,1,1
1.1943,0,0.1,1,1,1,1
3.2668,0,0.1,1,1,1,1
2.2021,0,0.1,1,1,1,1
0.8602,0,0.1,1,1,1,1
2.9607,0,0.1,1,1,1,1
1.1407,0,0.1,1,1,1,1
3.9441,0,0.1,1,1,1,1
3.5852,0,0.1,1,1,1,1
1.4049,0,0.1,1,1,1,1
6.3705,0,0.1,1,1,1,1
1.9999,0,0.1,1,1,1,1
3.7641,0,0.1,1,1,1,1
1.3941,0,0.1,1,1,1,1
4.056,0,0.1,1,1,1,1
1.6857,0,0.1,1,1,1,1
2.1355,0,0.1,1,1,1,1
6.1376,0,0.1,1,1,1,1
1.4522,0,0.1,1,1,1,1
1.3987,0,0.1,1,1,1,1
0.18,0,0.1,1,1,1,1
0.17201,0,0.1,1,1,1,1
-0.08619,0,0.1,1,1,1,1
0.82174,0,0.1,1,1,1,1
4.8262,0,0.1,1,1,1,1
1.1744,0,0.1,1,1,1,1
6.1609,0,0.1,1,1,1,1
1.6866,0,0.1,1,1,1,1
3.8845,0,0.1,1,1,1,1
1.2608,0,0.1,1,1,1,1
4.6118,0,0.1,1,1,1,1
1.1768,0,0.1,1,1,1,1
4.0545,0,0.1,1,1,1,1
3.7311,0,0.1,1,1,1,1
2.0261,0,0.1,1,1,1,1
2.0877,0,0.1,2,1,1,1
1.1632,0,0.1,2,1,1,1
2.7761,0,0.1,2,1,1,1
1.0401,0,0.1,2,1,1,1
2.9276,0,0.1,2,1,1,1
1.9782,0,0.1,2,1,1,1
0.66891,0,0.1,2,1,1,1
2.6157,0,0.1,2,1,1,1
1.0538,0,0.1,2,1,1,1
3.4786,0,0.1,2,1,1,1
2.8623,0,0.1,2,1,1,1
1.254,0,0.1,2,1,1,1
5.7668,0,0.1,2,1,1,1
2.0058,0,0.1,2,1,1,1
3.236,0,0.1,2,1,1,1
1.1008,0,0.1,2,1,1,1
3.7368,0,0.1,2,1,1,1
1.6238,0,0.1,2,1,1,1
1.8875,0,0.1,2,1,1,1
5.8036,0,0.1,2,1,1,1
1.6141,0,0.1,2,1,1,1
1.5005,0,0.1,2,1,1,1
0.36225,0,0.1,2,1,1,1
0.33262,0,0.1,2,1,1,1
-0.032741,0,0.1,2,1,1,1
0.78408,0,0.1,2,1,1,1
4.2783,0,0.1,2,1,1,1
1.2427,0,0.1,2,1,1,1
5.7766,0,0.1,2,1,1,1
1.3554,0,0.1,2,1,1,1
3.4568,0,0.1,2,1,1,1
1.1589,0,0.1,2,1,1,1
