trial,RT,correct,response,interval,tPos,tGen,tCon1,tCon2,tNoi1,tNoi2,dPed,img,ped,pedRand,cues
1,0.31933,0,2,1,1,2,0.85833,0.4,0.32082,0.32082,0.45833,2,4,3,1
2,0.65699,1,1,1,2,2,0.70833,0.25,0.32082,0.32082,0.45833,13,3,3,1
3,0.78863,0,2,1,4,1,0.7,0.15,0.43782,0.43782,0.55,1,2,4,4
4,0.39233,1,2,2,3,2,0.15,0.7,0.2227,0.2227,0.55,3,2,2,4
5,0.40201,0,1,2,3,1,0.15,0.151,0.43782,0.43782,0.001,2,2,4,1
6,0.34954,1,1,1,2,2,0.95,0.4,0.43782,0.43782,0.55,1,4,4,1
7,0.44131,1,1,1,1,1,0.61667,0.25,0.2227,0.2227,0.36667,17,3,2,1
8,0.42692,1,2,2,4,2,0.4,0.85833,0.43782,0.43782,0.45833,9,4,4,4
9,0.32664,1,1,1,4,2,0.85833,0.4,0.32082,0.32082,0.45833,10,4,3,4
10,0.31426,1,1,1,2,2,0.61667,0.25,0.43782,0.43782,0.36667,10,3,4,1
11,0.60388,1,2,2,1,1,0.25,0.61667,0.2227,0.2227,0.36667,12,3,2,1
12,0.74356,0,2,1,4,1,0.8,0.25,0.2227,0.2227,0.55,12,3,2,4
13,0.27319,1,1,1,3,1,0.33433,0.15,0.2227,0.2227,0.18433,17,2,2,1
14,0.57287,1,1,1,1,1,0.33433,0.15,0.2227,0.2227,0.18433,20,2,2,1
15,0.56851,1,2,2,4,2,0.4,0.85833,0.2227,0.2227,0.45833,14,4,2,4
16,0.89818,0,2,1,4,2,0.7,0.15,0.32082,0.32082,0.55,1,2,3,4
17,0.50987,0,2,1,3,1,0.33433,0.15,0.32082,0.32082,0.18433,6,2,3,1
18,0.35358,1,2,2,4,2,0.4,0.76667,0.32082,0.32082,0.36667,15,4,3,4
19,0.35511,1,1,1,4,2,0.95,0.4,0.2227,0.2227,0.55,8,4,2,1
20,0.43881,1,1,1,1,2,0.426,0.15,0.43782,0.43782,0.276,6,2,4,1
21,0.29852,1,2,2,2,2,0.4,0.95,0.32082,0.32082,0.55,5,4,3,1
22,0.58815,0,2,1,1,2,0.76667,0.4,0.32082,0.32082,0.36667,5,4,3,4
23,0.35162,1,2,2,4,1,0.15,0.426,0.2227,0.2227,0.276,3,2,2,1
