correct,RT,response,sLength,mainTrial,position,respond,SOA,tGen,tImg
1,0.7198,8,0.25961,NaN,2,1,0.25,2,6
1,1.0246,8,0.25979,NaN,1,1,0.25,2,8
1,0.70355,10,NaN,NaN,2,0,0.25,2,48
1,0.77437,10,NaN,NaN,2,0,0.16667,2,77
1,0.7352,8,0.17991,NaN,1,1,0.16667,2,70
1,0.6239,9,0.17971,NaN,2,1,0.16667,1,58
1,0.74279,8,0.10013,NaN,2,1,0.083333,2,22
1,0.81158,8,0.099863,NaN,1,1,0.083333,2,22
0,0.85859,8,0.10034,NaN,1,1,0.083333,1,81
0,1.0873,9,0.17988,NaN,1,1,0.16667,2,26
1,0.60612,9,0.21978,NaN,2,1,0.20833,1,3
1,0.741,9,0.21996,NaN,2,1,0.20833,1,21
1,0.73376,9,0.21986,NaN,1,1,0.20833,1,30
1,0.74266,8,0.17987,NaN,1,1,0.16667,2,62
1,0.84358,8,0.17995,NaN,2,1,0.16667,2,30
0,0.75833,8,0.17986,NaN,2,1,0.16667,1,8
1,0.76517,8,0.21989,NaN,1,1,0.20833,2,27
1,0.9499,8,0.21982,NaN,1,1,0.20833,2,16
1,0.57273,10,NaN,NaN,2,0,0.20833,2,31
1,0.66563,9,0.19984,NaN,1,1,0.1875,1,13
1,0.72844,8,0.19989,NaN,1,1,0.1875,2,29
0,1.1053,8,0.19991,NaN,1,1,0.1875,1,5
1,0.80792,8,0.21981,NaN,1,1,0.20833,2,5
1,0.76088,9,0.21983,NaN,2,1,0.20833,1,79
1,0.72961,9,0.21978,NaN,2,1,0.20833,1,14
1,0.64462,9,0.19979,NaN,1,1,0.1875,1,27
1,0.80728,9,0.19986,NaN,1,1,0.1875,1,61
1,0.75426,8,0.20001,NaN,2,1,0.1875,2,20
1,0.87899,8,0.17984,NaN,2,1,0.16667,2,34
0,1.0118,8,0.17992,NaN,2,1,0.16667,1,51
1,1.0885,9,0.1997,NaN,2,1,0.1875,1,55
1,0.61376,10,NaN,NaN,1,0,0.1875,2,54
1,0.79034,9,0.19987,NaN,2,1,0.1875,1,67
0,0.68318,8,0.1899,NaN,2,1,0.17708,1,33
1,0.71013,8,0.19999,NaN,2,1,0.1875,2,30
1,0.73286,10,NaN,NaN,2,0,0.1875,1,83
1,0.55567,10,NaN,NaN,2,0,0.1875,1,83
1,0.82857,10,NaN,NaN,2,0,0.17708,2,78
1,1.1673,8,0.18981,NaN,2,1,0.17708,2,47
1,0.89225,8,0.18984,NaN,2,1,0.17708,2,3
1,0.707,8,0.17994,NaN,2,1,0.16667,2,6
1,0.75592,9,0.1799,NaN,1,1,0.16667,1,61
1,0.7226,10,NaN,NaN,2,0,0.16667,2,44
1,0.70947,8,0.16993,NaN,2,1,0.15625,2,62
1,0.70827,8,0.16986,NaN,2,1,0.15625,2,23
0,1.1191,8,0.16983,NaN,2,1,0.15625,1,60
1,0.9279,8,0.17982,NaN,1,1,0.16667,2,37
1,1.0328,8,0.17995,NaN,1,1,0.16667,2,11
1,0.58356,10,NaN,NaN,2,0,0.16667,2,39
1,0.69049,10,NaN,NaN,1,0,0.15625,1,59
1,0.71133,8,0.16998,NaN,1,1,0.15625,2,51
0,0.80816,8,0.16989,NaN,2,1,0.15625,1,31
0,0.68096,9,0.1799,NaN,1,1,0.16667,2,31
1,0.78963,8,0.18982,NaN,2,1,0.17708,2,74
1,0.70852,10,NaN,NaN,1,0,0.17708,2,58
1,0.80945,8,0.18992,NaN,2,1,0.17708,2,36
