trial,RT,response,correct,tPos,cPos,catch,tGen,tCon,cCon,dPed,tImg,cImg,blockTrial
1,0.80237,10,1,1,1,0,0,1,1,0.12708,NaN,NaN,1
2,0.48065,10,1,2,2,0,0,2,2,0.2,NaN,NaN,2
3,0.43891,10,1,2,2,0,0,2,2,0.14167,NaN,NaN,3
4,0.727,10,1,1,1,0,0,1,1,0.1125,NaN,NaN,4
5,0.64152,10,0,2,2,0,0,2,2,0.2,NaN,NaN,5
6,0.50575,9,1,3,3,0,0,2,2,0.2,NaN,NaN,6
7,0.55016,9,0,3,3,0,0,2,2,0.2,NaN,NaN,7
8,0.3904,9,1,4,4,0,0,2,2,0.2,NaN,NaN,8
9,0.59679,10,0,1,1,0,0,1,1,0.1125,NaN,NaN,9
10,0.58678,9,1,3,3,0,0,2,2,0.14167,NaN,NaN,10
11,0.4735,10,1,3,3,0,0,2,2,0.1125,NaN,NaN,11
12,0.78577,10,1,4,4,0,0,2,2,0.1125,NaN,NaN,12
13,0.80197,10,0,2,2,0,0,2,2,0.1125,NaN,NaN,13
14,0.61643,9,0,4,4,0,0,2,2,0.2,NaN,NaN,14
15,0.86066,9,1,4,4,0,0,2,2,0.12708,NaN,NaN,15
16,0.4189,9,1,1,1,0,0,1,1,0.12708,NaN,NaN,16
17,0.58117,9,1,2,2,0,0,2,2,0.2,NaN,NaN,1
18,0.67953,10,0,4,4,0,0,2,2,0.12708,NaN,NaN,2
19,0.61192,10,1,4,4,0,0,2,2,0.14167,NaN,NaN,3
20,0.55822,10,0,3,3,0,0,2,2,0.14167,NaN,NaN,4
21,0.56654,10,1,3,3,0,0,2,2,0.17083,NaN,NaN,5
22,0.57888,10,1,2,2,0,0,2,2,0.17083,NaN,NaN,6
23,0.77723,10,0,2,2,0,0,2,2,0.17083,NaN,NaN,7
24,0.37949,9,1,4,4,0,0,2,2,0.2,NaN,NaN,8
25,0.51964,10,0,1,1,0,0,3,3,0.1599,NaN,NaN,9
26,0.39392,10,1,4,4,0,0,2,2,0.2,NaN,NaN,10
27,0.35629,9,1,3,3,0,0,2,2,0.15,NaN,NaN,11
28,0.38659,10,1,1,1,0,0,3,3,0.16354,NaN,NaN,12
29,0.56688,10,1,3,3,0,0,2,2,0.15,NaN,NaN,13
30,0.61128,10,1,1,1,0,0,3,3,0.15,NaN,NaN,14
31,0.68955,10,1,2,2,0,0,2,2,0.15,NaN,NaN,15
32,0.55176,10,0,1,1,0,0,3,3,0.15,NaN,NaN,16
33,0.45605,9,1,1,1,0,0,3,3,0.16354,NaN,NaN,1
34,0.49023,9,1,4,4,0,0,2,2,0.2,NaN,NaN,2
35,0.78844,10,1,4,4,0,0,2,2,0.2,NaN,NaN,3
36,0.59485,10,0,2,2,0,0,3,3,0.175,NaN,NaN,4
37,0.50104,9,1,3,3,0,0,3,3,0.16354,NaN,NaN,5
38,0.54336,10,1,3,3,0,0,3,3,0.2,NaN,NaN,6
39,0.67357,10,1,1,1,0,0,3,3,0.16172,NaN,NaN,7
40,0.62001,10,0,2,2,0,0,3,3,0.16172,NaN,NaN,8
41,0.76033,10,1,2,2,0,0,3,3,0.2,NaN,NaN,9
42,0.52258,9,1,4,4,0,0,2,2,0.1,NaN,NaN,10
43,0.72281,10,1,4,4,0,0,2,2,0.1,NaN,NaN,11
44,0.65521,10,1,2,2,0,0,3,3,0.16272,NaN,NaN,12
45,0.60346,10,1,1,1,0,0,3,3,0.2,NaN,NaN,13
46,0.55392,10,1,3,3,0,0,3,3,0.16272,NaN,NaN,14
47,0.57423,10,0,1,1,0,0,3,3,0.1875,NaN,NaN,15
48,0.84056,9,1,3,3,0,0,3,3,0.19375,NaN,NaN,16
49,0.81274,10,0,3,3,0,0,1,1,0.17083,NaN,NaN,1
50,0.63301,10,1,1,1,0,0,2,2,0.1,NaN,NaN,2
