trial,RT,correct,response,interval,tPos,tGen,tCon1,tCon2,tNoi1,tNoi2,dPed,img,ped,pedRand,cues
1,0.29346,1,2,2,4,1,0.25,0.25,0.43782,0.66682,0.229,9,4,3,1
2,0.23916,1,2,2,3,2,0.15,0.15,0.43782,0.66682,0.229,6,4,2,1
3,0.21877,1,1,1,3,2,0.4,0.4,0.58932,0.2227,0.36662,16,2,4,1
4,0.2305,1,2,2,3,1,0.4,0.4,0.43782,0.98782,0.55,13,4,4,4
5,0.70417,1,1,1,2,1,0.25,0.25,0.70777,0.32082,0.38695,12,3,3,4
6,0.27568,1,1,1,3,2,0.25,0.25,0.58932,0.2227,0.36662,8,2,3,1
7,0.70945,1,1,1,1,2,0.25,0.25,0.72166,0.2227,0.49896,5,2,3,4
8,0.56911,1,1,1,3,1,0.15,0.15,0.70777,0.32082,0.38695,9,3,2,4
9,0.53275,1,2,2,1,1,0.15,0.15,0.32082,0.61129,0.29047,12,3,2,1
10,0.23035,1,1,1,4,1,0.25,0.25,0.58932,0.2227,0.36662,17,2,3,1
11,0.30611,1,1,1,2,1,0.15,0.15,0.61129,0.32082,0.29047,18,3,2,1
12,0.35773,1,2,2,4,2,0.15,0.15,0.2227,0.46711,0.24441,11,2,2,1
13,0.79936,1,2,2,1,1,0.15,0.15,0.43782,0.66682,0.229,7,4,2,1
14,0.29901,1,1,1,4,2,0.4,0.4,0.46711,0.2227,0.24441,13,2,4,1
15,0.25269,1,2,2,3,1,0.15,0.15,0.2227,0.46711,0.24441,6,2,2,1
16,1.0083,1,2,2,2,1,0.15,0.15,0.43782,0.98782,0.55,19,4,2,4
17,0.28406,1,1,1,3,2,0.4,0.4,0.72166,0.2227,0.49896,6,2,4,4
18,0.26958,1,1,1,1,2,0.4,0.4,0.72166,0.2227,0.49896,17,2,4,4
19,0.3053,1,1,1,3,1,0.25,0.25,0.61129,0.32082,0.29047,4,3,3,1
20,0.96494,0,2,1,3,2,0.15,0.15,0.55534,0.2227,0.33264,18,2,2,4
21,0.50257,0,2,1,2,2,0.15,0.15,0.70777,0.32082,0.38695,4,3,2,4
22,0.8662,0,2,1,4,1,0.15,0.15,0.98782,0.43782,0.55,18,4,2,4
23,0.3096,1,1,1,4,1,0.25,0.25,0.72166,0.2227,0.49896,11,2,3,4
24,0.3595,0,2,1,1,1,0.25,0.25,0.59049,0.43782,0.15266,19,4,3,1
25,0.33921,1,2,2,4,2,0.15,0.15,0.32082,0.83676,0.51594,2,3,2,4
26,0.26097,1,1,1,1,1,0.25,0.25,0.83676,0.32082,0.51594,4,3,3,4
27,0.20054,1,1,1,3,2,0.15,0.15,0.66682,0.43782,0.229,10,4,2,1
28,0.41227,1,2,2,4,1,0.15,0.15,0.2227,0.34491,0.12221,8,2,2,1
29,0.2859,1,1,1,2,2,0.4,0.4,0.83676,0.32082,0.51594,4,3,4,4
30,0.26546,1,1,1,1,1,0.4,0.4,0.70777,0.32082,0.38695,12,3,4,4
31,0.26115,1,1,1,4,1,0.25,0.25,0.51447,0.32082,0.19364,16,3,3,1
32,0.40679,0,2,1,3,1,0.15,0.15,0.66682,0.43782,0.229,20,4,2,1
33,0.35441,1,2,2,4,1,0.4,0.4,0.43782,0.98782,0.55,8,4,4,4
34,0.83811,1,2,2,1,1,0.15,0.15,0.43782,0.98782,0.55,20,4,2,4
35,0.26385,1,2,2,3,1,0.4,0.4,0.43782,0.98782,0.55,11,4,4,4
36,0.2754,1,1,1,3,2,0.4,0.4,0.72166,0.2227,0.49896,7,2,4,4
37,0.73315,1,1,1,4,1,0.15,0.15,0.70777,0.32082,0.38695,1,3,2,4
38,0.31283,1,2,2,1,2,0.25,0.25,0.43782,0.80449,0.36667,19,4,3,4
39,1.1082,0,1,2,2,2,0.15,0.15,0.2227,0.72166,0.49896,6,2,2,4
40,0.91802,0,2,1,1,2,0.15,0.15,0.34491,0.2227,0.12221,5,2,2,1
41,0.28174,1,1,1,4,2,0.4,0.4,0.70777,0.32082,0.38695,1,3,4,4
42,0.58145,1,2,2,4,2,0.4,0.4,0.43782,0.80449,0.36667,7,4,4,4
43,0.3671,1,2,2,1,1,0.25,0.25,0.43782,0.70499,0.26716,6,4,3,1
44,0.33868,1,2,2,3,2,0.4,0.4,0.2227,0.46711,0.24441,12,2,4,1
45,0.30232,1,2,2,1,1,0.25,0.25,0.43782,0.70499,0.26716,2,4,3,1
46,0.29604,1,2,2,1,1,0.4,0.4,0.43782,0.70499,0.26716,19,4,4,1
47,0.33169,1,2,2,3,1,0.15,0.15,0.32082,0.51447,0.19364,16,3,2,1
48,0.37327,1,2,2,1,2,0.25,0.25,0.2227,0.7727,0.55,3,2,3,4
49,0.60854,1,1,1,2,1,0.25,0.25,0.51447,0.32082,0.19364,14,3,3,1
50,0.50864,1,2,2,4,2,0.4,0.4,0.32082,0.41764,0.096822,20,3,4,1
51,0.98228,0,2,1,1,1,0.15,0.15,0.7727,0.2227,0.55,14,2,2,4
52,0.40991,1,2,2,1,2,0.25,0.25,0.43782,0.80449,0.36667,1,4,3,4
53,0.83763,1,1,1,2,2,0.25,0.25,0.64328,0.32082,0.32246,4,3,3,4
54,0.80726,1,1,1,3,1,0.25,0.25,0.71282,0.43782,0.275,13,4,3,4
55,0.54694,1,2,2,3,2,0.4,0.4,0.43782,0.66682,0.229,12,4,4,1
56,0.42052,0,1,2,4,1,0.4,0.4,0.32082,0.64328,0.32246,13,3,4,4
57,0.43227,1,1,1,3,1,0.25,0.25,0.71282,0.43782,0.275,10,4,3,4
58,0.27583,1,1,1,4,2,0.25,0.25,0.41764,0.32082,0.096822,3,3,3,1
59,1.2055,0,2,1,2,2,0.25,0.25,0.70777,0.32082,0.38695,4,3,3,4
60,0.75313,1,2,2,2,1,0.25,0.25,0.2227,0.7727,0.55,17,2,3,4
61,0.32484,1,2,2,1,1,0.4,0.4,0.43782,0.66682,0.229,13,4,4,1
62,0.25448,1,2,2,2,2,0.25,0.25,0.2227,0.46711,0.24441,18,2,3,1
63,0.57815,1,2,2,2,1,0.4,0.4,0.32082,0.41764,0.096822,10,3,4,1
64,0.25375,1,1,1,4,2,0.25,0.25,0.43782,0.66682,0.55,19,2,4,4
65,0.19153,0,2,1,2,1,0.6,NaN,0.14805,NaN,0.229,7,4,4,1
66,0.27515,1,2,2,4,1,0.4,NaN,0.56218,NaN,0.001,7,3,4,1
67,0.2768,1,2,2,4,2,0.25,NaN,0.56218,NaN,0.24441,4,2,4,1
68,0.48814,0,2,1,2,1,0.25,0.25,0.70777,0.32082,0.001,17,3,2,1
69,0.26006,1,1,1,2,2,0.6,NaN,0.56218,NaN,0.18331,19,2,3,1
70,0.26172,1,2,2,3,2,0.15,NaN,0.32082,NaN,0.275,7,4,2,4
71,0.28135,1,2,2,3,1,0.15,0.15,0.70777,0.32082,0.097822,10,3,4,1
