correct,RT,response,sLength,mainTrial,position,respond,SOA,tGen,tImg
NaN,NaN,NaN,0.17989,1,1,1,0.16128,2,38
NaN,NaN,NaN,0.17979,1,2,1,0.16128,1,56
NaN,NaN,NaN,0.1806,1,2,1,0.16128,2,24
NaN,NaN,NaN,0.17995,2,2,1,0.16128,2,67
NaN,NaN,NaN,NaN,2,2,0,0.16128,2,15
NaN,NaN,NaN,0.17998,3,2,1,0.16128,1,68
NaN,NaN,NaN,0.17996,3,1,1,0.16128,1,15
NaN,NaN,NaN,0.17993,4,2,1,0.16128,1,13
NaN,NaN,NaN,0.18005,4,1,1,0.16128,1,71
NaN,NaN,NaN,0.17994,5,2,1,0.16128,2,14
NaN,NaN,NaN,0.18022,5,2,1,0.16128,1,14
NaN,NaN,NaN,0.17988,6,1,1,0.16128,2,46
NaN,NaN,NaN,0.17997,6,1,1,0.16128,2,52
NaN,NaN,NaN,0.17989,7,2,1,0.16128,1,45
NaN,NaN,NaN,0.17985,7,2,1,0.16128,2,32
NaN,NaN,NaN,0.17985,8,2,1,0.16128,2,3
NaN,NaN,NaN,0.17976,8,2,1,0.16128,2,47
NaN,NaN,NaN,0.17986,9,1,1,0.16128,1,67
NaN,NaN,NaN,0.18015,9,1,1,0.16128,2,47
NaN,NaN,NaN,0.17998,10,1,1,0.16128,2,6
NaN,NaN,NaN,0.1799,10,2,1,0.16128,1,57
NaN,NaN,NaN,NaN,11,2,0,0.16128,1,53
NaN,NaN,NaN,0.17996,11,2,1,0.16128,1,52
NaN,NaN,NaN,0.17985,12,2,1,0.16128,2,57
NaN,NaN,NaN,0.17987,12,2,1,0.16128,1,19
NaN,NaN,NaN,0.17975,13,1,1,0.16128,1,71
NaN,NaN,NaN,0.17993,13,2,1,0.16128,2,27
NaN,NaN,NaN,NaN,14,2,0,0.16128,2,39
NaN,NaN,NaN,0.1799,14,2,1,0.16128,2,63
NaN,NaN,NaN,NaN,15,2,0,0.16128,2,52
NaN,NaN,NaN,0.17993,15,1,1,0.16128,1,63
NaN,NaN,NaN,0.17983,16,1,1,0.16128,1,64
NaN,NaN,NaN,0.17992,16,2,1,0.16128,2,49
NaN,NaN,NaN,NaN,17,2,0,0.16128,2,36
NaN,NaN,NaN,0.17992,17,1,1,0.16128,2,23
NaN,NaN,NaN,NaN,18,1,0,0.16128,1,52
NaN,NaN,NaN,0.17992,18,1,1,0.16128,2,44
NaN,NaN,NaN,NaN,19,1,0,0.16128,2,40
NaN,NaN,NaN,0.17985,19,1,1,0.16128,2,7
NaN,NaN,NaN,0.17997,20,2,1,0.16128,2,16
NaN,NaN,NaN,0.18004,20,2,1,0.16128,1,45
NaN,NaN,NaN,NaN,21,2,0,0.16128,2,10
NaN,NaN,NaN,0.17994,21,2,1,0.16128,2,4
NaN,NaN,NaN,0.17982,22,1,1,0.16128,1,65
NaN,NaN,NaN,0.17984,22,2,1,0.16128,2,37
NaN,NaN,NaN,0.18003,23,2,1,0.16128,1,49
NaN,NaN,NaN,NaN,23,2,0,0.16128,1,46
NaN,NaN,NaN,NaN,24,2,0,0.16128,2,7
NaN,NaN,NaN,NaN,24,2,0,0.16128,1,67
NaN,NaN,NaN,0.1799,25,2,1,0.16128,1,11
NaN,NaN,NaN,0.17992,25,2,1,0.16128,1,61
NaN,NaN,NaN,0.17992,26,1,1,0.16128,1,59
NaN,NaN,NaN,0.18003,26,1,1,0.16128,2,3
0,0.83787,1,0.1798,27,2,1,0.16128,1,24
NaN,NaN,NaN,0.17993,27,2,1,0.16128,1,9
NaN,NaN,NaN,0.17987,28,2,1,0.16128,1,6
NaN,NaN,NaN,0.17995,28,1,1,0.16128,1,68
NaN,NaN,NaN,0.17992,29,1,1,0.16128,1,64
NaN,NaN,NaN,0.17985,29,2,1,0.16128,1,22
NaN,NaN,NaN,0.17986,30,1,1,0.16128,1,39
NaN,NaN,NaN,0.17992,30,2,1,0.16128,2,49
NaN,NaN,NaN,0.17979,31,1,1,0.16128,1,6
NaN,NaN,NaN,0.17002,31,1,1,0.16128,1,54
NaN,NaN,NaN,0.17996,32,1,1,0.16128,2,6
NaN,NaN,NaN,0.17985,32,1,1,0.16128,1,52
NaN,NaN,NaN,NaN,33,2,0,0.16128,1,70
NaN,NaN,NaN,0.17997,33,1,1,0.16128,1,69
NaN,NaN,NaN,0.18002,34,1,1,0.16128,2,60
NaN,NaN,NaN,0.17976,34,2,1,0.16128,1,53
NaN,NaN,NaN,0.17981,35,1,1,0.16128,1,75
NaN,NaN,NaN,NaN,35,1,0,0.16128,1,21
NaN,NaN,NaN,0.17984,36,1,1,0.16128,1,16
NaN,NaN,NaN,0.18055,36,2,1,0.16128,1,37
NaN,NaN,NaN,0.17987,37,1,1,0.16128,1,17
NaN,NaN,NaN,0.17991,37,2,1,0.16128,1,45
NaN,NaN,NaN,0.17968,38,1,1,0.16128,2,5
NaN,NaN,NaN,0.1798,38,2,1,0.16128,2,5
NaN,NaN,NaN,0.17987,39,1,1,0.16128,1,45
NaN,NaN,NaN,0.17982,39,1,1,0.16128,1,59
NaN,NaN,NaN,0.18,40,2,1,0.16128,2,10
NaN,NaN,NaN,NaN,40,2,0,0.16128,1,24
NaN,NaN,NaN,0.17988,41,2,1,0.16128,2,39
NaN,NaN,NaN,0.17991,41,2,1,0.16128,2,69
NaN,NaN,NaN,NaN,42,2,0,0.16128,2,59
NaN,NaN,NaN,0.17993,42,1,1,0.16128,1,29
NaN,NaN,NaN,0.17995,43,1,1,0.16128,1,35
NaN,NaN,NaN,0.17986,43,2,1,0.16128,2,55
NaN,NaN,NaN,0.1799,44,2,1,0.16128,2,69
NaN,NaN,NaN,0.17985,44,2,1,0.16128,1,46
NaN,NaN,NaN,0.17994,45,2,1,0.16128,2,16
NaN,NaN,NaN,0.17992,45,1,1,0.16128,2,43
NaN,NaN,NaN,0.17995,46,1,1,0.16128,1,44
NaN,NaN,NaN,0.17979,46,1,1,0.16128,2,65
NaN,NaN,NaN,0.17988,47,2,1,0.16128,2,9
NaN,NaN,NaN,NaN,47,1,0,0.16128,1,36
NaN,NaN,NaN,0.17977,48,2,1,0.16128,1,23
NaN,NaN,NaN,0.17986,48,1,1,0.16128,1,20
NaN,NaN,NaN,0.17983,49,1,1,0.16128,2,15
NaN,NaN,NaN,NaN,49,1,0,0.16128,1,67
NaN,NaN,NaN,NaN,50,2,0,0.16128,2,2
NaN,NaN,NaN,0.17996,50,1,1,0.16128,1,57
NaN,NaN,NaN,NaN,51,1,0,0.16128,1,40
NaN,NaN,NaN,NaN,51,2,0,0.16128,1,70
NaN,NaN,NaN,NaN,52,1,0,0.16128,2,28
NaN,NaN,NaN,0.17988,52,1,1,0.16128,1,75
NaN,NaN,NaN,0.1799,53,2,1,0.16128,2,38
NaN,NaN,NaN,0.1798,53,2,1,0.16128,2,62
NaN,NaN,NaN,0.17985,54,2,1,0.16128,2,66
NaN,NaN,NaN,0.17977,54,2,1,0.16128,2,45
NaN,NaN,NaN,0.17987,55,1,1,0.16128,1,58
NaN,NaN,NaN,0.1799,55,1,1,0.16128,1,22
NaN,NaN,NaN,0.17976,56,1,1,0.16128,2,68
NaN,NaN,NaN,NaN,56,2,0,0.16128,1,72
NaN,NaN,NaN,0.17984,57,1,1,0.16128,2,69
NaN,NaN,NaN,0.17971,57,1,1,0.16128,2,51
NaN,NaN,NaN,0.17985,58,2,1,0.16128,2,41
NaN,NaN,NaN,0.17996,58,2,1,0.16128,2,55
NaN,NaN,NaN,0.17978,59,2,1,0.16128,2,66
NaN,NaN,NaN,0.17983,59,1,1,0.16128,1,16
NaN,NaN,NaN,0.17983,60,2,1,0.16128,1,67
NaN,NaN,NaN,0.17992,60,2,1,0.16128,1,61
NaN,NaN,NaN,0.17989,61,1,1,0.16128,2,35
NaN,NaN,NaN,NaN,61,1,0,0.16128,2,22
NaN,NaN,NaN,0.17994,62,1,1,0.16128,2,44
NaN,NaN,NaN,0.17993,62,2,1,0.16128,2,16
NaN,NaN,NaN,NaN,63,1,0,0.16128,2,70
NaN,NaN,NaN,0.17993,63,2,1,0.16128,2,38
NaN,NaN,NaN,NaN,64,1,0,0.16128,2,62
NaN,NaN,NaN,0.17991,64,1,1,0.16128,1,39
NaN,NaN,NaN,0.17988,65,1,1,0.16128,1,73
NaN,NaN,NaN,NaN,65,1,0,0.16128,1,68
NaN,NaN,NaN,0.17995,66,1,1,0.16128,1,54
NaN,NaN,NaN,0.17989,66,2,1,0.16128,1,12
NaN,NaN,NaN,0.17996,67,1,1,0.16128,2,44
NaN,NaN,NaN,0.1799,67,1,1,0.16128,2,47
NaN,NaN,NaN,0.17974,68,2,1,0.16128,1,46
NaN,NaN,NaN,0.17987,68,1,1,0.16128,1,31
NaN,NaN,NaN,0.17995,69,1,1,0.16128,1,26
NaN,NaN,NaN,0.17991,69,1,1,0.16128,1,33
NaN,NaN,NaN,NaN,70,2,0,0.16128,1,31
NaN,NaN,NaN,0.17979,70,2,1,0.16128,2,40
NaN,NaN,NaN,0.17988,71,2,1,0.16128,1,14
NaN,NaN,NaN,NaN,71,2,0,0.16128,2,20
NaN,NaN,NaN,NaN,72,1,0,0.16128,1,54
NaN,NaN,NaN,NaN,72,1,0,0.16128,2,57
