trial,RT,response,correct,tPos,cPos,catch,tGen,tCon,cCon,dPed,tImg,cImg,blockTrial
1,0.35296,9,1,2,2,0,0,1,1,0.35,NaN,NaN,1
2,0.37124,10,1,1,1,0,0,3,3,0.35,NaN,NaN,2
3,0.56945,10,1,3,3,0,0,1,1,0.35,NaN,NaN,3
4,0.19386,9,1,3,3,0,0,1,1,0.35,NaN,NaN,4
5,0.28625,10,1,1,1,0,0,3,3,0.35,NaN,NaN,5
6,0.2305,9,1,4,4,0,0,3,3,0.35,NaN,NaN,6
7,0.71066,9,1,1,4,1,0,3,3,0.35,NaN,NaN,7
8,0.44293,9,1,2,2,0,0,1,1,0.35,NaN,NaN,8
9,0.30722,10,1,4,4,0,0,3,3,0.35,NaN,NaN,9
10,0.30754,10,1,3,3,0,0,1,1,0.35,NaN,NaN,10
11,0.26576,9,1,4,4,0,0,3,3,0.35,NaN,NaN,11
12,0.45404,10,1,2,2,0,0,1,1,0.2,NaN,NaN,12
13,0.35822,10,1,4,4,0,0,3,3,0.2,NaN,NaN,13
14,0.6564,9,1,1,1,0,0,3,3,0.2,NaN,NaN,14
15,0.3207,10,1,2,2,0,0,1,1,0.35,NaN,NaN,15
16,0.1289,9,1,3,3,0,0,1,1,0.2,NaN,NaN,16
17,0.31508,10,0,1,1,0,0,3,3,0.2,NaN,NaN,1
18,0.31738,9,0,3,3,0,0,1,1,0.2,NaN,NaN,2
19,0.033561,9,1,2,2,0,0,1,1,0.2,NaN,NaN,3
20,0.32401,10,1,3,3,0,0,1,1,0.2,NaN,NaN,4
21,0.37024,9,1,2,2,0,0,1,1,0.2,NaN,NaN,5
22,0.2085,9,1,4,4,0,0,2,2,0.35,NaN,NaN,6
23,0.61462,10,0,1,1,0,0,3,3,0.2,NaN,NaN,7
24,0.69686,10,0,3,3,0,0,1,1,0.083333,NaN,NaN,8
25,0.60522,9,1,4,2,1,0,2,1,0.35,NaN,NaN,9
26,0.36162,10,1,1,1,0,0,3,3,0.2,NaN,NaN,10
27,0.50779,10,1,2,2,0,0,1,1,0.14167,NaN,NaN,11
28,0.67612,10,1,1,1,0,0,3,3,0.2,NaN,NaN,12
