trial,RT,correct,response,interval,tPos,tGen,tCon1,tCon2,tNoi1,tNoi2,dPed,img
1,0.26117,1,2,2,2,2,0.4,0.49267,0.43782,0.43782,0.092667,18
2,0.76674,0,1,2,4,1,0.15,0.26558,0.14805,0.14805,0.11558,17
3,0.27444,1,2,2,4,1,0.15,0.2885,0.43782,0.43782,0.1385,8
4,0.40604,1,1,1,3,2,0.2885,0.15,0.43782,0.43782,0.1385,1
5,0.31169,1,1,1,2,1,0.46975,0.4,0.26894,0.26894,0.06975,5
6,0.2753,1,1,1,2,2,0.46975,0.4,0.14805,0.14805,0.06975,15
7,0.27702,1,1,1,3,1,0.46975,0.4,0.43782,0.43782,0.06975,13
8,0.28865,1,2,2,2,1,0.4,0.44683,0.14805,0.14805,0.046833,20
9,0.45232,1,1,1,1,2,0.58433,0.4,0.26894,0.26894,0.18433,6
10,0.64597,1,2,2,1,1,0.15,0.2885,0.14805,0.14805,0.1385,17
11,0.61769,1,1,1,4,2,0.58433,0.4,0.43782,0.43782,0.18433,3
12,0.34131,1,2,2,1,1,0.25,0.31975,0.14805,0.14805,0.06975,5
13,0.47899,1,1,1,3,1,0.34267,0.25,0.26894,0.26894,0.092667,9
14,0.38672,1,2,2,1,2,0.25,0.34267,0.14805,0.14805,0.092667,16
15,0.27825,1,2,2,3,1,0.25,0.29683,0.43782,0.43782,0.046833,19
16,0.22392,1,2,2,2,2,0.15,0.19683,0.43782,0.43782,0.046833,3
17,0.49962,1,2,2,2,2,0.15,0.26558,0.14805,0.14805,0.11558,9
18,0.72527,1,1,1,4,1,0.31975,0.25,0.14805,0.14805,0.06975,14
19,0.66499,1,2,2,3,1,0.15,0.26558,0.26894,0.26894,0.11558,16
20,0.80464,0,2,1,2,1,0.31975,0.25,0.43782,0.43782,0.06975,4
21,0.45427,1,1,1,1,2,0.19683,0.15,0.14805,0.14805,0.046833,10
22,0.41781,1,1,1,4,2,0.26558,0.15,0.43782,0.43782,0.11558,8
23,0.7975,1,2,2,2,1,0.25,0.34267,0.43782,0.43782,0.092667,18
24,0.2792,0,2,1,4,1,0.19683,0.15,0.26894,0.26894,0.046833,5
25,0.35485,1,2,2,2,1,0.4,0.58433,0.43782,0.43782,0.18433,7
26,0.4045,1,1,1,2,2,0.34267,0.25,0.43782,0.43782,0.092667,10
27,0.74413,1,2,2,3,2,0.4,0.56142,0.14805,0.14805,0.16142,9
28,0.97181,1,1,1,1,2,0.56142,0.4,0.26894,0.26894,0.16142,1
29,0.70947,0,2,1,3,2,0.56142,0.4,0.43782,0.43782,0.16142,18
30,0.38509,0,1,2,2,2,0.25,0.29683,0.26894,0.26894,0.046833,7
31,0.24484,1,2,2,2,2,0.15,0.24267,0.14805,0.14805,0.092667,16
32,0.33444,1,2,2,1,1,0.25,0.31975,0.14805,0.14805,0.06975,15
33,0.27413,1,2,2,4,1,0.15,0.21975,0.14805,0.14805,0.06975,14
34,0.26181,1,2,2,3,2,0.15,0.21975,0.14805,0.14805,0.06975,2
35,0.7194,0,2,1,1,1,0.24267,0.15,0.26894,0.26894,0.092667,11
36,0.28311,1,2,2,4,1,0.25,0.31975,0.43782,0.43782,0.06975,18
37,0.43673,1,2,2,1,1,0.15,0.21975,0.43782,0.43782,0.06975,6
38,0.73621,1,2,2,2,2,0.25,0.34267,0.14805,0.14805,0.092667,10
39,0.29194,1,1,1,4,1,0.19683,0.15,0.26894,0.26894,0.046833,7
40,0.26173,1,1,1,2,2,0.58433,0.4,0.43782,0.43782,0.18433,15
41,0.71334,1,2,2,1,1,0.25,0.31975,0.26894,0.26894,0.06975,11
42,0.28495,0,2,1,3,2,0.31975,0.25,0.26894,0.26894,0.06975,12
43,0.28669,1,2,2,2,1,0.4,0.44683,0.26894,0.26894,0.046833,12
44,0.35431,1,2,2,1,2,0.25,0.31975,0.26894,0.26894,0.06975,16
45,0.34196,1,1,1,3,2,0.58433,0.4,0.14805,0.14805,0.18433,18
46,0.71971,1,2,2,3,2,0.25,0.31975,0.14805,0.14805,0.06975,12
47,0.29133,1,1,1,1,1,0.19683,0.15,0.26894,0.26894,0.046833,5
48,0.16498,1,1,1,1,2,0.34267,0.25,0.14805,0.14805,0.092667,19
49,0.44064,1,2,2,4,1,0.25,0.34267,0.26894,0.26894,0.092667,19
50,0.55627,1,1,1,2,2,0.26558,0.15,0.26894,0.26894,0.11558,11
51,0.27791,1,2,2,3,1,0.4,0.58433,0.26894,0.26894,0.18433,13
52,0.28154,1,1,1,3,2,0.44683,0.4,0.26894,0.26894,0.046833,4
53,0.26921,0,1,2,1,2,0.4,0.42392,0.14805,0.14805,0.023917,13
54,0.27089,0,2,1,1,2,0.44683,0.4,0.43782,0.43782,0.046833,10
55,0.25847,1,2,2,4,1,0.25,0.34267,0.14805,0.14805,0.092667,19
56,0.25381,1,2,2,1,1,0.25,0.31975,0.43782,0.43782,0.06975,8
57,0.65583,1,2,2,4,2,0.25,0.31975,0.43782,0.43782,0.06975,3
58,0.31554,1,1,1,1,1,0.46975,0.4,0.26894,0.26894,0.06975,14
59,0.26915,1,1,1,2,1,0.56142,0.4,0.14805,0.14805,0.16142,19
60,0.45689,1,1,1,2,1,0.56142,0.4,0.26894,0.26894,0.16142,13
61,0.56443,1,2,2,4,2,0.15,0.19683,0.43782,0.43782,0.046833,11
62,0.31814,1,2,2,1,1,0.15,0.17392,0.14805,0.14805,0.023917,17
63,0.27378,0,2,1,3,2,0.17392,0.15,0.43782,0.43782,0.023917,7
64,0.35742,1,2,2,4,2,0.1,NaN,0.075858,NaN,0.046833,2
65,0.2471,1,2,2,4,1,0.15,0.26558,0.14805,0.14805,0.046833,7
66,0.41869,1,2,2,3,2,0.15,NaN,0.14805,NaN,0.06975,4
67,0.88024,0,2,1,4,2,0.1,NaN,0.14805,NaN,0.11558,5
68,0.34407,1,1,1,2,2,0.46975,0.4,0.26894,0.26894,0.046833,3
69,0.33174,1,1,1,3,1,0.6,NaN,0.62246,NaN,0.1385,12
70,0.28539,1,2,2,2,2,0.4,NaN,0.43782,NaN,0.06975,9
71,0.2651,1,2,2,2,2,0.4,0.44683,0.14805,0.14805,0.06975,17
72,0.97277,1,1,1,3,1,0.6,NaN,0.26894,NaN,0.16142,20
