trial,RT,correct,response,interval,tPos,tGen,tCon1,tCon2,tNoi1,tNoi2,dPed,img,ped,pedRand,cues
1,0.40981,1,2,2,2,1,0.25,0.3885,0.43782,0.43782,0.1385,8,3,4,4
2,0.50931,0,2,1,1,1,0.251,0.25,0.2227,0.2227,0.001,14,3,2,1
3,0.35317,1,2,2,4,2,0.15,0.17392,0.32082,0.32082,0.023917,2,2,3,1
4,0.89091,1,1,1,4,1,0.19683,0.15,0.2227,0.2227,0.046833,17,2,2,4
5,0.31045,0,2,1,3,2,0.29683,0.25,0.2227,0.2227,0.046833,19,3,2,1
6,1.0021,0,1,2,4,2,0.15,0.19683,0.43782,0.43782,0.046833,17,2,4,4
7,0.35577,1,1,1,1,2,0.5385,0.4,0.2227,0.2227,0.1385,1,4,2,1
8,0.31947,1,2,2,1,2,0.4,0.676,0.32082,0.32082,0.276,6,4,3,4
9,0.57718,1,1,1,3,2,0.36558,0.25,0.2227,0.2227,0.11558,13,3,2,4
10,0.34874,1,1,1,2,2,0.21975,0.15,0.2227,0.2227,0.06975,5,2,2,4
11,0.28038,1,1,1,2,2,0.31975,0.25,0.43782,0.43782,0.06975,19,3,4,1
12,0.28207,1,1,1,3,1,0.31975,0.25,0.32082,0.32082,0.06975,19,3,3,1
13,0.29374,1,1,1,4,2,0.31975,0.25,0.2227,0.2227,0.06975,11,3,2,1
14,0.42537,1,2,2,4,2,0.4,0.63017,0.32082,0.32082,0.23017,6,4,3,4
15,0.355,1,2,2,1,2,0.15,0.21975,0.2227,0.2227,0.06975,16,2,2,4
16,0.26269,1,2,2,4,1,0.4,0.49267,0.43782,0.43782,0.092667,11,4,4,1
17,0.29836,1,1,1,2,2,0.17392,0.15,0.43782,0.43782,0.023917,9,2,4,1
18,0.25203,1,1,1,4,2,0.49267,0.4,0.2227,0.2227,0.092667,9,4,2,1
19,0.37565,1,1,1,3,1,0.63017,0.4,0.32082,0.32082,0.23017,9,4,3,4
20,0.27338,1,2,2,2,1,0.4,0.49267,0.32082,0.32082,0.092667,12,4,3,1
21,0.82898,1,2,2,3,2,0.25,0.36558,0.43782,0.43782,0.11558,2,3,4,4
22,0.3287,1,2,2,3,1,0.4,0.44683,0.32082,0.32082,0.046833,10,4,3,1
23,0.32232,0,1,2,3,1,0.25,0.29683,0.32082,0.32082,0.046833,2,3,3,1
24,0.34194,1,2,2,3,2,0.15,0.151,0.43782,0.43782,0.001,14,2,4,1
