estimate,task,cues,pedestal,dual,threshold
1,1,1,1,1,0.15057
2,1,1,1,1,0.12076
3,1,1,1,1,0.11311
1,2,1,1,1,0.040729
2,2,1,1,1,0.02295
3,2,1,1,1,-0.040844
1,1,1,1,2,0.32133
2,1,1,1,2,0.4119
1,2,1,1,2,0.10433
2,2,1,1,2,0.12656
1,1,1,2,1,0.10206
2,1,1,2,1,0.10935
3,1,1,2,1,0.10633
1,2,1,2,1,0.054495
2,2,1,2,1,0.032455
3,2,1,2,1,-0.040844
1,1,1,2,2,0.3181
2,1,1,2,2,0.26236
1,2,1,2,2,0.2052
2,2,1,2,2,0.25468
1,1,1,3,1,0.12035
2,1,1,3,1,0.094217
3,1,1,3,1,0.13751
1,2,1,3,1,0.087439
2,2,1,3,1,0.052814
3,2,1,3,1,-0.040844
1,1,1,3,2,0.20116
2,1,1,3,2,0.25684
1,2,1,3,2,0.23117
2,2,1,3,2,0.22762
1,1,2,1,1,0.3233
2,1,2,1,1,0.13737
3,1,2,1,1,0.33757
1,2,2,1,1,0.12762
2,2,2,1,1,0.057485
3,2,2,1,1,-0.040844
1,1,2,1,2,0.47962
2,1,2,1,2,0.51969
1,2,2,1,2,0.38211
2,2,2,1,2,0.42113
1,1,2,2,1,0.19029
2,1,2,2,1,0.38671
3,1,2,2,1,0.25905
1,2,2,2,1,0.066156
2,2,2,2,1,0.095158
3,2,2,2,1,-0.040844
1,1,2,2,2,0.39244
2,1,2,2,2,0.38165
1,2,2,2,2,0.54741
2,2,2,2,2,0.5015
1,1,2,3,1,0.21214
2,1,2,3,1,0.18753
3,1,2,3,1,-0.040844
1,2,2,3,1,0.13127
2,2,2,3,1,0.15032
3,2,2,3,1,-0.040844
1,1,2,3,2,1.7724
2,1,2,3,2,0.19574
1,2,2,3,2,0.43569
2,2,2,3,2,0.42273
