correct,RT,response,mainTrial,position,respond,SOA,sOnset,tGen,tImg
1,0.59586,10,1,2,0,0.25,NaN,1,68
1,0.7087,9,1,1,1,0.25,NaN,1,23
1,0.65126,9,1,2,1,0.25,NaN,1,45
1,0.80023,8,2,2,1,0.16667,NaN,2,28
0,0.88677,8,2,1,1,0.16667,NaN,1,80
1,0.93399,8,3,1,1,0.25,NaN,2,79
1,0.57079,10,3,2,0,0.25,NaN,2,16
1,0.74553,9,4,1,1,0.25,NaN,1,63
1,0.62236,10,4,1,0,0.20833,NaN,2,77
1,0.68527,9,5,1,1,0.20833,NaN,1,48
0,0.81404,8,5,2,1,0.20833,NaN,1,3
1,0.70893,10,6,2,0,0.25,NaN,2,7
0,0.86571,9,6,1,1,0.25,NaN,2,36
1,0.84665,8,7,2,1,0.25,NaN,2,58
1,0.79934,8,7,2,1,0.25,NaN,2,7
1,0.71213,10,8,2,0,0.25,NaN,2,13
1,0.70903,8,8,2,1,0.22917,NaN,2,1
1,0.83987,8,9,2,1,0.22917,NaN,2,11
1,0.57671,10,9,2,0,0.22917,NaN,1,17
1,0.6436,9,10,1,1,0.20833,NaN,1,60
1,0.7403,10,10,1,0,0.20833,NaN,2,18
0,0.71721,9,11,2,1,0.20833,NaN,2,64
1,0.65791,9,11,2,1,0.22917,NaN,1,47
0,0.75434,8,12,2,1,0.22917,NaN,1,35
1,0.63169,9,12,1,1,0.25,NaN,1,65
1,0.84453,8,13,2,1,0.25,NaN,2,45
0,0.81125,9,13,2,1,0.25,NaN,2,28
0,0.67613,9,14,1,1,0.25,NaN,2,31
1,0.69477,9,14,1,1,0.25,NaN,1,5
1,0.72193,8,15,2,1,0.25,NaN,2,58
0,0.72257,9,15,1,1,0.25,NaN,2,37
1,0.70743,8,16,1,1,0.25,NaN,2,20
0,0.74219,9,16,2,1,0.25,NaN,2,5
1,0.53917,9,17,1,1,0.25,NaN,1,64
1,0.53794,10,17,1,0,0.25,NaN,1,17
1,0.74484,9,18,1,1,0.25,NaN,1,8
0,0.81765,8,18,2,1,0.22917,NaN,1,5
1,0.62838,10,19,2,0,0.25,NaN,2,78
1,0.73723,8,19,2,1,0.25,NaN,2,51
1,0.72405,9,20,1,1,0.25,NaN,1,63
0,0.99287,9,20,1,1,0.23958,NaN,2,55
1,0.68376,10,21,1,0,0.25,NaN,2,5
1,0.74055,8,21,1,1,0.25,NaN,2,30
1,0.92338,8,22,2,1,0.25,NaN,2,24
0,1.0943,9,22,1,1,0.23958,NaN,2,12
0,1.0371,9,23,1,1,0.25,NaN,2,30
1,0.68374,10,23,2,0,0.25,NaN,2,69
1,0.82869,8,24,2,1,0.25,NaN,2,11
1,0.96345,8,24,2,1,0.25,NaN,2,69
1,0.85435,8,25,1,1,0.23958,NaN,2,62
1,0.72712,10,25,2,0,0.23958,NaN,2,47
1,0.85201,8,26,2,1,0.23958,NaN,2,35
0,0.81282,8,26,2,1,0.22917,NaN,1,12
1,0.94172,8,27,1,1,0.23958,NaN,2,28
1,0.56661,10,27,1,0,0.23958,NaN,1,71
1,0.71134,8,28,2,1,0.23958,NaN,2,32
1,0.68221,9,28,1,1,0.22917,NaN,1,46
1,0.96695,8,29,1,1,0.22917,NaN,2,25
1,0.85581,8,29,2,1,0.22917,NaN,2,2
1,0.8607,8,30,2,1,0.21875,NaN,2,47
1,0.65345,10,30,1,0,0.21875,NaN,1,69
0,1.0103,9,31,2,1,0.21875,NaN,2,61
