correct,RT,response,mainTrial,position,respond,SOA,sOnset,tGen,tImg
1,0.4949,10,1,1,0,0.14787,NaN,1,4
0,0.87783,9,1,2,1,0.14787,NaN,2,10
1,0.54055,10,1,1,0,0.19716,NaN,1,63
1,0.53151,10,2,2,0,0.19716,NaN,1,18
1,0.83824,9,2,2,1,0.19716,NaN,1,31
1,0.66713,10,3,1,0,0.14787,NaN,1,29
1,0.70775,8,3,2,1,0.14787,NaN,2,59
1,0.78476,9,4,1,1,0.14787,NaN,1,13
0,0.66548,9,4,1,1,0.12323,NaN,2,32
1,0.56641,10,5,2,0,0.14787,NaN,2,35
1,0.70718,8,5,1,1,0.14787,NaN,2,61
1,0.63606,9,6,1,1,0.14787,NaN,1,22
1,0.90679,8,6,2,1,0.12323,NaN,2,15
0,0.7097,9,7,2,1,0.12323,NaN,2,46
1,0.67452,9,7,2,1,0.13555,NaN,1,34
1,0.81132,8,8,1,1,0.13555,NaN,2,65
1,0.73416,9,8,1,1,0.13555,NaN,1,65
1,0.80105,9,9,2,1,0.12323,NaN,1,29
1,0.48792,10,9,1,0,0.12323,NaN,1,47
0,0.7247,9,10,2,1,0.12323,NaN,2,36
1,0.7155,8,10,1,1,0.13555,NaN,2,48
1,0.59028,9,11,2,1,0.13555,NaN,1,10
1,0.58512,10,11,2,0,0.13555,NaN,1,25
0,0.86398,9,12,2,1,0.12323,NaN,2,29
1,0.75878,9,12,2,1,0.12939,NaN,1,38
1,0.57379,10,13,1,0,0.12939,NaN,2,14
1,0.72451,8,13,2,1,0.12939,NaN,2,15
1,0.6473,10,14,1,0,0.12323,NaN,1,60
1,0.8121,8,14,1,1,0.12323,NaN,2,45
1,0.54099,10,15,2,0,0.12323,NaN,2,8
1,0.57374,10,15,2,0,0.11707,NaN,2,63
1,0.56466,9,16,2,1,0.11707,NaN,1,45
0,0.85741,8,16,2,1,0.11707,NaN,1,38
1,0.64418,9,17,1,1,0.12323,NaN,1,73
1,0.66305,9,17,1,1,0.12323,NaN,1,9
1,0.6979,8,18,2,1,0.12323,NaN,2,30
1,0.63872,8,18,2,1,0.11707,NaN,2,56
0,0.71152,9,19,1,1,0.11707,NaN,2,71
1,0.57637,9,19,1,1,0.12323,NaN,1,68
0,0.7133,8,20,2,1,0.12323,NaN,1,16
1,0.59814,9,20,1,1,0.12939,NaN,1,53
1,0.77501,9,21,1,1,0.12939,NaN,1,29
0,0.81378,8,21,2,1,0.12939,NaN,1,71
1,0.57058,9,22,1,1,0.13555,NaN,1,44
0,0.5974,9,22,1,1,0.13555,NaN,2,18
1,0.8361,8,23,2,1,0.14171,NaN,2,71
1,0.70711,8,23,2,1,0.14171,NaN,2,49
0,0.78991,9,24,1,1,0.14171,NaN,2,7
1,0.79472,8,24,1,1,0.14787,NaN,2,15
1,0.91153,8,25,1,1,0.14787,NaN,2,33
0,0.7804,9,25,1,1,0.14787,NaN,2,58
0,0.69321,8,26,2,1,0.15403,NaN,1,14
1,0.6579,8,26,2,1,0.1602,NaN,2,24
1,0.70086,9,27,1,1,0.1602,NaN,1,44
