correct,RT,response,sLength,mainTrial,position,respond,SOA,tGen,tImg
1,0.66917,9,0.17983,1,2,1,0.16128,1,68
1,0.7521,9,0.17988,1,2,1,0.16128,1,11
1,0.66084,8,0.17996,1,2,1,0.16128,2,60
1,0.66567,9,0.12003,2,1,1,0.10752,1,17
1,0.77456,9,0.11991,2,1,1,0.10752,1,14
1,0.66148,10,NaN,3,2,0,0.10752,1,3
1,0.53211,10,NaN,3,1,0,0.05376,1,18
1,0.65894,9,0.06998,4,1,1,0.05376,1,23
1,0.55587,10,NaN,4,2,0,0.05376,2,15
1,0.73269,10,NaN,5,1,0,0.01,1,22
0,0.63349,10,0.019986,5,2,1,0.01,2,28
1,0.63636,9,0.080011,6,2,1,0.06376,1,23
1,0.61305,8,0.079936,6,2,1,0.06376,2,66
1,0.69795,9,0.07999,7,1,1,0.06376,1,58
1,0.6967,8,0.049857,7,2,1,0.03688,2,42
1,0.94369,8,0.050016,8,1,1,0.03688,2,12
1,0.66649,10,NaN,8,1,0,0.03688,1,30
1,0.70319,9,0.019849,9,2,1,0.01,1,74
1,0.68199,9,0.019957,9,2,1,0.01,1,44
1,0.74086,10,NaN,10,2,0,0.01,1,43
1,0.56182,10,NaN,10,2,0,0.01,1,45
0,0.97057,10,0.019882,11,1,1,0.01,2,20
1,0.70933,10,NaN,11,2,0,0.03688,2,67
1,0.71229,8,0.04998,12,1,1,0.03688,2,42
0,0.62301,8,0.049959,12,1,1,0.03688,1,44
0,0.77989,8,0.060062,13,1,1,0.05032,1,54
1,0.63057,10,NaN,13,2,0,0.06376,2,9
0,0.73556,8,0.079863,14,2,1,0.06376,1,53
1,0.80033,10,NaN,14,2,0,0.077199,2,12
0,0.78524,9,NaN,15,1,0,0.077199,1,18
1,0.72396,9,0.10983,15,2,1,0.090639,1,2
1,0.55882,10,NaN,16,2,0,0.090639,1,17
1,0.58369,9,0.10993,16,1,1,0.090639,1,52
1,0.84247,9,0.089934,17,2,1,0.077199,1,74
1,0.83734,9,0.089978,17,2,1,0.077199,1,40
1,0.75415,8,0.090213,18,1,1,0.077199,2,53
1,0.61096,8,0.079871,18,2,1,0.06376,2,10
1,0.61186,9,0.079974,19,1,1,0.06376,1,17
1,0.80262,8,0.079909,19,1,1,0.06376,2,52
0,0.7355,8,0.060014,20,2,1,0.05032,1,13
1,0.7043,8,0.079979,20,1,1,0.06376,2,30
1,0.55113,9,0.079972,21,1,1,0.06376,1,57
1,0.69398,8,0.080005,21,1,1,0.06376,2,30
1,0.65488,8,0.069924,22,1,1,0.05032,2,40
1,0.8695,8,0.069865,22,2,1,0.05032,2,57
0,0.91841,8,0.060033,23,2,1,0.05032,1,61
1,0.83108,10,NaN,23,1,0,0.06376,2,53
1,0.94611,8,0.079975,24,1,1,0.06376,2,5
0,1.0011,9,0.08002,24,1,1,0.06376,2,22
1,0.81776,9,0.089887,25,1,1,0.070479,1,22
1,0.62469,9,0.080129,25,2,1,0.070479,1,56
